ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Estimates Start After
BHR;Bahrain;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.593;4.056;4.264;4.368;4.534;4.278;3.347;3.626;4.481;4.675;4.965;5.209;5.442;5.986;6.411;6.787;7.057;7.318;6.996;7.582;9.063;9.189;9.594;11.075;13.150;15.969;18.505;21.730;25.711;22.938;25.713;28.777;30.749;32.539;33.388;31.051;32.235;35.474;37.654;38.474;33.904;37.503;38.922;40.535;42.335;44.304;46.411;2019
BGD;Bangladesh;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;22.353;20.930;20.274;22.744;24.442;25.138;27.521;29.612;32.289;34.831;36.036;36.718;37.050;39.386;43.969;47.025;48.935;51.158;53.109;54.348;54.502;55.759;60.108;65.666;69.461;71.815;79.617;91.630;102.478;115.279;128.605;133.304;150.026;172.887;195.147;221.398;249.695;273.300;302.396;329.120;352.908;391.314;430.730;470.788;514.572;561.904;2020
BRB;Barbados;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.018;1.120;1.171;1.243;1.355;1.418;1.557;1.714;1.823;2.018;2.024;2.032;1.957;2.075;2.163;2.229;2.377;2.513;2.833;2.969;3.059;3.055;3.106;3.210;3.444;3.820;4.217;4.674;4.785;4.466;4.530;4.658;4.610;4.677;4.696;4.715;4.830;4.978;5.087;5.209;4.365;4.628;5.082;5.432;5.696;5.937;6.187;2019
BLR;Belarus;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.800;11.408;15.687;10.532;14.494;14.091;15.215;12.133;10.785;12.778;15.092;18.420;23.928;31.239;38.219;46.815;62.798;50.855;57.220;61.368;65.669;75.496;78.736;56.329;47.703;54.723;60.011;64.414;60.201;60.725;62.563;64.392;66.988;69.370;71.956;2019
BEL;Belgium;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;123.478;102.245;89.958;85.037;81.237;84.467;117.063;145.411;158.097;159.816;200.149;205.369;228.732;218.720;238.622;288.301;279.292;253.022;258.876;258.500;236.897;236.748;258.200;318.004;369.047;385.927;408.281;470.978;517.270;482.730;481.814;523.239;496.467;521.799;535.529;462.383;475.931;502.521;543.980;533.157;513.087;578.996;615.336;640.552;663.157;683.643;704.786;2020
BLZ;Belize;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.172;0.179;0.179;0.189;0.211;0.209;0.228;0.267;0.315;0.363;0.412;0.445;0.518;0.560;0.578;0.618;0.639;0.652;0.686;0.730;0.823;0.867;0.924;0.982;1.050;1.101;1.209;1.270;1.350;1.300;1.375;1.459;1.521;1.577;1.667;1.724;1.773;1.833;1.882;1.920;1.651;1.700;1.844;1.960;2.039;2.122;2.207;2020
BEN;Benin;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.302;1.557;1.542;1.365;1.456;1.580;2.036;2.430;2.552;2.370;2.890;2.954;3.284;3.199;2.227;2.993;3.251;3.124;3.362;3.681;3.522;3.666;4.191;5.348;6.187;6.571;7.034;8.170;9.787;9.728;9.543;10.691;11.148;12.518;13.288;11.389;11.818;12.697;14.257;14.392;15.193;17.327;19.056;20.681;22.501;24.437;26.498;2019
BTN;Bhutan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.123;0.133;0.140;0.151;0.156;0.162;0.183;0.222;0.254;0.253;0.273;0.236;0.231;0.242;0.245;0.287;0.301;0.337;0.371;0.389;0.423;0.441;0.481;0.572;0.649;0.758;0.821;1.005;1.260;1.184;1.399;1.696;1.772;1.805;1.784;1.922;2.025;2.365;2.411;2.488;2.503;2.480;2.752;2.984;3.294;3.570;3.864;2020
BOL;Bolivia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.589;3.440;3.813;3.609;3.752;4.059;3.970;4.323;4.598;4.716;4.868;5.343;5.643;5.734;5.970;6.702;7.375;7.917;8.490;8.269;8.385;8.155;7.917;8.092;8.785;9.573;11.520;13.216;16.792;17.464;19.786;24.135;27.282;30.883;33.237;33.241;34.189;37.782;40.581;41.193;39.381;43.110;46.546;50.156;53.834;57.670;61.718;2019
BIH;Bosnia and Herzegovina;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3.584;4.578;5.281;5.766;5.554;5.784;6.711;8.477;10.157;10.935;12.460;15.323;18.712;17.601;17.164;18.629;17.207;18.155;18.522;16.210;16.910;18.081;20.184;20.203;19.389;21.953;23.219;24.305;25.484;26.792;28.091;2019
BWA;Botswana;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.175;1.038;1.095;1.210;1.201;1.118;1.516;2.376;3.084;3.444;3.803;3.806;3.932;3.961;4.261;4.732;4.881;5.024;4.819;5.485;5.803;5.514;5.456;7.539;8.966;10.013;10.175;10.941;11.028;10.272;12.794;15.393;16.110;14.915;16.259;14.445;15.658;17.383;18.664;18.339;15.910;18.726;20.137;21.631;22.921;24.368;26.106;2019
BRA;Brazil;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;145.819;167.583;179.166;143.652;142.957;226.938;263.256;286.539;320.105;439.434;455.335;399.249;382.465;429.184;546.764;770.860;851.146;883.862;864.307;599.642;655.454;559.982;509.798;558.232;669.290;891.633;1,107.628;1,397.114;1,695.855;1,669.204;2,208.704;2,614.027;2,464.054;2,471.718;2,456.055;1,800.046;1,796.622;2,063.518;1,916.934;1,877.114;1,434.084;1,491.772;1,636.413;1,769.711;1,922.407;2,050.389;2,172.080;2020
BRN;Brunei Darussalam;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;4.419;2.695;3.095;2.946;3.304;3.896;4.096;4.631;4.543;4.523;5.239;5.661;5.750;4.482;5.090;6.641;6.198;6.466;7.256;8.711;10.547;12.645;13.432;15.926;11.913;13.707;18.525;19.047;18.092;17.098;12.931;11.399;12.128;13.568;13.470;12.016;15.278;14.822;14.777;15.035;15.357;15.735;2019
BGR;Bulgaria;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;32.353;34.895;36.394;37.400;39.728;34.016;30.106;34.897;57.029;58.082;25.608;2.509;10.183;5.527;9.717;16.276;12.295;11.317;15.031;13.628;13.246;14.183;16.403;21.146;26.158;29.868;34.380;44.404;54.434;52.024;50.383;57.388;54.031;55.617;56.902;50.647;53.802;59.093;66.294;68.563;68.561;77.782;84.379;90.070;95.402;100.760;106.138;2019
BFA;Burkina Faso;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.386;2.076;1.934;1.767;1.579;1.746;2.290;2.665;2.942;2.942;3.488;3.526;3.775;3.599;2.164;2.676;2.909;2.753;3.155;3.388;2.961;3.190;3.620;4.740;5.449;6.150;6.548;7.627;9.450;9.440;10.118;12.078;12.569;13.444;13.947;11.833;12.819;14.165;16.207;15.746;16.541;18.853;20.568;22.268;24.084;26.006;28.086;2018
